mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__n_features,param_model__n_trees,params,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_mse,split1_test_mse,split2_test_mse,mean_test_mse,std_test_mse,rank_test_mse
159.4633718331655,3.965207492382983,0.052333434422810875,0.004027640014852561,,,10,"{'model__max_depth': None, 'model__n_features': None, 'model__n_trees': 10}",0.5931078111195711,0.6865164643089375,0.6253433371400289,0.6349892041895124,0.03873909468925906,2,-0.016750919615078578,-0.014364317490927873,-0.016574234830012316,-0.01589649064533959,0.0010858085496204934,2
157.4650115966797,3.330901310868157,0.05312705039978027,0.0022858444486909446,,,50,"{'model__max_depth': None, 'model__n_features': None, 'model__n_trees': 50}",0.5871674558315128,0.6542453456219817,0.6105396944017656,0.61731749861842,0.027800657032823847,19,-0.01699547189854479,-0.015843031815062837,-0.017229125228092026,-0.01668920964723322,0.0006058939193976398,18
157.90430108706155,2.717963298861168,0.05033214886983236,0.00047266575340308605,,,100,"{'model__max_depth': None, 'model__n_features': None, 'model__n_trees': 100}",0.5926375501640343,0.6518282876754258,0.5937577545331374,0.6127411974575324,0.027642529801418157,26,-0.01677027929727347,-0.015953785279871645,-0.017971532450113722,-0.01689853234241961,0.0008287189082943713,26
159.54608885447183,2.7363915129914007,0.054235219955444336,0.002318368557262196,,10,10,"{'model__max_depth': None, 'model__n_features': 10, 'model__n_trees': 10}",0.5771061757734877,0.6500558979339209,0.6199050933712705,0.615689055692893,0.02993043847657683,23,-0.017409674230470847,-0.016034999015414452,-0.016814814374489655,-0.016753162540124985,0.0005628994571164452,22
162.0947321256002,0.5210477591302173,0.05133358637491862,0.0009428530990877068,,10,50,"{'model__max_depth': None, 'model__n_features': 10, 'model__n_trees': 50}",0.6158609554551634,0.647871419660081,0.6199157947129531,0.6278827232760658,0.014230751156114559,5,-0.015814219176555816,-0.01613509530726052,-0.01681434096358408,-0.016254551815800142,0.0004169438733582811,5
161.01083620389304,2.25237179905764,0.052573601404825844,0.00115035633272717,,10,100,"{'model__max_depth': None, 'model__n_features': 10, 'model__n_trees': 100}",0.5849440847017086,0.6452337620267194,0.6075894612563784,0.6125891026616022,0.024865754343730173,27,-0.017087003542768073,-0.016255957002897753,-0.017359639007245634,-0.016900866517637152,0.00046940653011633084,27
161.91156578063965,1.9589232006707626,0.0516664981842041,0.0024947672622645327,,50,10,"{'model__max_depth': None, 'model__n_features': 50, 'model__n_trees': 10}",0.6145636423638072,0.6430539727308042,0.6188974377114187,0.62550501760201,0.012534480845865888,7,-0.01586762690445713,-0.016355838438268277,-0.01685939151187909,-0.016360952284868165,0.0004049023525938022,7
158.60339641571045,3.4654532072078497,0.053000291188557945,0.0014139986696414875,,50,50,"{'model__max_depth': None, 'model__n_features': 50, 'model__n_trees': 50}",0.6174790271124939,0.6648600807764521,0.6272646307329905,0.6365345795406455,0.020423679471781912,1,-0.015747606474213312,-0.015356647656147429,-0.016489239754937286,-0.01586449796176601,0.00046970837084089727,1
159.8699606259664,3.998630060091264,0.05197461446126302,0.0013788201138264383,,50,100,"{'model__max_depth': None, 'model__n_features': 50, 'model__n_trees': 100}",0.5697077498467588,0.6413127022750983,0.6056389847578221,0.6055531456265597,0.029232662432440572,36,-0.017714252301428035,-0.016435626238313964,-0.017445925089203222,-0.017198601209648407,0.0005505136863979439,36
160.70132613182068,3.741945359179073,0.05033334096272787,0.0004711455705537808,,100,10,"{'model__max_depth': None, 'model__n_features': 100, 'model__n_trees': 10}",0.5867493202116657,0.6515190284560397,0.5937785817274306,0.610682310131712,0.029018164449066672,30,-0.017012685687228055,-0.015967956032426366,-0.017970611087054455,-0.016983750935569628,0.0008178364676987733,30
163.89661725362143,3.2452880571111895,0.05066641171773275,0.000472100989423944,,100,50,"{'model__max_depth': None, 'model__n_features': 100, 'model__n_trees': 50}",0.5985706831658947,0.6328462814941116,0.6209452468066639,0.6174540704888901,0.014209043933369926,18,-0.016526024340565666,-0.016823571193195844,-0.01676879958546695,-0.016706131706409486,0.00012930320871682905,19
163.99371560414633,2.661812326678834,0.05566652615865072,0.0009426845167186228,,100,100,"{'model__max_depth': None, 'model__n_features': 100, 'model__n_trees': 100}",0.5843146997312942,0.6654382407545069,0.6044347593127464,0.6180625665995159,0.03449198047488923,16,-0.0171129140353616,-0.015330155440321742,-0.017499198171717228,-0.016647422549133525,0.0009447039520287168,16
164.3951292037964,0.9706927545924486,0.051000515619913735,0.0008168267455111227,5,,10,"{'model__max_depth': 5, 'model__n_features': None, 'model__n_trees': 10}",0.6019664561305414,0.659568411171011,0.6007690766815243,0.6207679813276923,0.027440401435425518,12,-0.016386227309518282,-0.015599120429405153,-0.01766136233631098,-0.01654890335841147,0.0008497286011083259,12
160.9631761709849,2.74242762867877,0.05133318901062012,0.0004710332191838044,5,,50,"{'model__max_depth': 5, 'model__n_features': None, 'model__n_trees': 50}",0.5894035241341541,0.6634135148474225,0.5772475908449758,0.6100215432755175,0.0380785910959958,32,-0.016903417537672365,-0.015422931622960337,-0.018701916711695122,-0.017009421957442608,0.0013407369878278106,32
166.18506487210593,2.766821362426077,0.05263829231262207,0.0018662579239040642,5,,100,"{'model__max_depth': 5, 'model__n_features': None, 'model__n_trees': 100}",0.6084474320574544,0.6197223296928052,0.6056336366221455,0.6112677994574683,0.006087619803782603,28,-0.016119418779529805,-0.017424931676112507,-0.017446161682504215,-0.016996837379382176,0.0006204891768156361,31
164.0421771208445,2.371920708396747,0.05266698201497396,0.002494491109789085,5,10,10,"{'model__max_depth': 5, 'model__n_features': 10, 'model__n_trees': 10}",0.5973257871038116,0.6626312456228844,0.6208144581409611,0.626923830289219,0.027008567148604525,6,-0.016577274166526837,-0.015458776451237765,-0.016774585474984872,-0.01627021203091649,0.0005793983736530902,6
162.99672389030457,2.318686425653922,0.05566700299580892,0.004642567996676984,5,10,50,"{'model__max_depth': 5, 'model__n_features': 10, 'model__n_trees': 50}",0.593047382515878,0.6755437245818638,0.5844290563348145,0.6176733878108521,0.04107148885405818,17,-0.016753407337159708,-0.014867105992523484,-0.018384219718016667,-0.016668244349233287,0.0014371179006139457,17
161.34461649258932,1.497010616788012,0.05236554145812988,0.0020184386329009226,5,10,100,"{'model__max_depth': 5, 'model__n_features': 10, 'model__n_trees': 100}",0.5547132775841902,0.6675292449421539,0.6089187171680488,0.6103870798981309,0.04606862771676336,31,-0.018331544071594267,-0.015234342280756574,-0.017300834769090546,-0.01695557370714713,0.001287780683699098,28
165.89222009976706,0.5169346391781648,0.05084061622619629,0.000224895667905686,5,50,10,"{'model__max_depth': 5, 'model__n_features': 50, 'model__n_trees': 10}",0.6073353594885624,0.6392528296372757,0.6039321434540055,0.6168401108599478,0.01590896900259209,20,-0.01616520053380457,-0.016530012900424725,-0.017521433124669798,-0.016738882186299698,0.0005730395530663322,21
165.1945329507192,4.342950672132031,0.05299973487854004,0.0016328748385508807,5,50,50,"{'model__max_depth': 5, 'model__n_features': 50, 'model__n_trees': 50}",0.593294598151269,0.6412820791825331,0.5899890171594354,0.6081885648310791,0.02343952837296873,35,-0.016743229974828373,-0.016437029437442723,-0.018138255598095548,-0.017106171670122215,0.000740422230019,35
162.51929759979248,1.7221865485263368,0.0517114003499349,0.0023260884927007877,5,50,100,"{'model__max_depth': 5, 'model__n_features': 50, 'model__n_trees': 100}",0.5983132460660892,0.6540430868202323,0.6066563616444228,0.6196708981769148,0.024542309161761353,15,-0.016536622499691418,-0.015852299637174324,-0.017400917899686216,-0.01659661334551732,0.0006336422791730985,14
166.20447142918906,1.8693605778644546,0.05133326848347982,0.000471314409210715,5,100,10,"{'model__max_depth': 5, 'model__n_features': 100, 'model__n_trees': 10}",0.6068448710334735,0.6456991731056207,0.5966936801831086,0.6164125747740676,0.02111934816379568,22,-0.01618539294080537,-0.0162346311221417,-0.017841651612563347,-0.016753891891836806,0.000769424896552241,23
164.23420890172324,4.285577633867069,0.051332950592041016,0.0009437523121643287,5,100,50,"{'model__max_depth': 5, 'model__n_features': 100, 'model__n_trees': 50}",0.6063780984034512,0.6465151158088391,0.5865310487016429,0.6131414209713111,0.02495100500043834,25,-0.016204609015769932,-0.01619724332116007,-0.018291230806962048,-0.01689769438129735,0.0009853836446126038,25
166.7382619380951,2.28946415360086,0.05299997329711914,5.150429962800233e-07,5,100,100,"{'model__max_depth': 5, 'model__n_features': 100, 'model__n_trees': 100}",0.5945879518312016,0.6885212892562156,0.5663025007434267,0.6164705806102813,0.05223980058726431,21,-0.016689985247801225,-0.014272453202128938,-0.01918611067262441,-0.016716183040851526,0.0020060777947044695,20
163.37965099016824,2.8930155631503207,0.05266777674357096,0.0012464066251965144,10,,10,"{'model__max_depth': 10, 'model__n_features': None, 'model__n_trees': 10}",0.5854971812225969,0.6671875496914688,0.5910041239072227,0.6145629516070961,0.037279063356342144,24,-0.017064233689686667,-0.015249999304195343,-0.018093348836029918,-0.016802527276637308,0.0011754507858744647,24
164.35113032658896,1.109153548554057,0.05066657066345215,0.0009430780631028373,10,,50,"{'model__max_depth': 10, 'model__n_features': None, 'model__n_trees': 50}",0.5984668864589527,0.6531798551403569,0.6164957746457957,0.6227141720817018,0.022765157375343594,9,-0.016530297438801043,-0.015891854294775784,-0.016965637393984427,-0.01646259637585375,0.0004409762741007537,9
160.21839825312296,2.0170559336237943,0.05133279164632162,0.0012471712461763996,10,,100,"{'model__max_depth': 10, 'model__n_features': None, 'model__n_trees': 100}",0.585382662316116,0.6469386881851233,0.6010097240988026,0.611110358200014,0.0261253795778663,29,-0.017068948198957896,-0.01617783455674148,-0.01765071646450195,-0.01696583307340044,0.0006057061033158338,29
165.86976623535156,1.7861766943076633,0.0516663392384847,0.0012474685911916638,10,10,10,"{'model__max_depth': 10, 'model__n_features': 10, 'model__n_trees': 10}",0.6390513543475436,0.6508231357952645,0.6132936533952444,0.6343893811793508,0.015671970896456427,3,-0.014859517861800363,-0.01599984294826373,-0.01710729431569957,-0.01598888504192122,0.0009176836068636732,3
164.78155159950256,0.9235715595462741,0.05233327547709147,0.00047159517711601586,10,10,50,"{'model__max_depth': 10, 'model__n_features': 10, 'model__n_trees': 50}",0.6011421888815045,0.648180710200707,0.609927363717109,0.6197500875997736,0.02042090514367679,14,-0.016420160707128966,-0.01612092311951644,-0.017256213796285762,-0.016599099207643724,0.0004804410962262966,15
162.59366408983865,1.664119027033599,0.052756706873575844,0.0005468413884408323,10,10,100,"{'model__max_depth': 10, 'model__n_features': 10, 'model__n_trees': 100}",0.5814638078937775,0.657792072914141,0.6239391072419838,0.6210649960166341,0.031227086498278725,11,-0.01723027942429405,-0.01568051509224355,-0.01663635580207207,-0.01651571677286989,0.0006384135037988659,10
165.75989691416422,2.223447198353427,0.052666266759236656,0.0020538951069770874,10,50,10,"{'model__max_depth': 10, 'model__n_features': 50, 'model__n_trees': 10}",0.5888923525334608,0.6549127952235143,0.61987432142466,0.6212264897272117,0.026969686471870327,10,-0.016924461427495575,-0.01581244820573716,-0.016816175678104027,-0.016517695103778922,0.000500640483965934,11
167.9899870554606,4.6821983948099914,0.051666975021362305,0.0012474473365300246,10,50,50,"{'model__max_depth': 10, 'model__n_features': 50, 'model__n_trees': 50}",0.5996375820664175,0.6665286799351045,0.5956950658350255,0.6206204426121825,0.03250190301230572,13,-0.016482102293870083,-0.01528018977127912,-0.01788582877621875,-0.016549373613789317,0.001064810696439654,13
164.52570382754007,1.5019593905167044,0.05300092697143555,0.0016325828801477221,10,50,100,"{'model__max_depth': 10, 'model__n_features': 50, 'model__n_trees': 100}",0.6242618890082308,0.6451282953444302,0.626296640694615,0.631895608349092,0.009393723345715312,4,-0.015468369916027486,-0.016260789655131874,-0.01653206214620794,-0.0160870739057891,0.0004512893833701084,4
163.65348863601685,1.5293791424512038,0.03151146570841471,0.008510394658514362,10,100,10,"{'model__max_depth': 10, 'model__n_features': 100, 'model__n_trees': 10}",0.588956038097602,0.6474670312625765,0.5904843986817301,0.6089691560139695,0.027229258412129156,33,-0.016921839623010942,-0.016153625031057967,-0.01811634068106649,-0.0170639351117118,0.0008075504222147974,34
160.3543815612793,2.445840807322904,0.024335463841756184,0.00046980090457536495,10,100,50,"{'model__max_depth': 10, 'model__n_features': 100, 'model__n_trees': 50}",0.5874549361968265,0.68220270832102,0.5996940903373504,0.6231172449517324,0.04207745405551889,8,-0.016983636919594876,-0.01456198069659588,-0.017708918079671815,-0.016418178565287524,0.0013455138017605486,8
149.88533186912537,8.132696236588119,0.021668513615926106,0.0004722839698829547,10,100,100,"{'model__max_depth': 10, 'model__n_features': 100, 'model__n_trees': 100}",0.5727964941499757,0.6469528977485403,0.6063984436696538,0.60871594518939,0.030318543925445855,34,-0.017587095012719496,-0.01617718345179628,-0.01741232779440975,-0.017058868752975177,0.0006275150053372551,33
